Date,Tweet,User,Location,Belief,Keywords_used
11/17/2020,I know a woman who has corona virus do you think shes at home in quarantine HELL NO shes been walking out going places with no mask on and she works in the medical field thats why I wear a mask other people dont give a fk about getting people sick COVID19,b'Ali_mommy',b'Friendly S El Monte',.,keywords
11/17/2020,shotbydfams Way tooo much but anything to keep Giannis bro Nobody coming to Milwaukee They can only get better through trades and drafts And corona not helping cos no NCAA tourney this year So this year draft and next year is really a toss up,b'ChiefDejjy',"b'\xc3\x9cT: 43.011598,-78.820668'",.,keywords
11/17/2020,Mentally Im on the amalfi coast enjoying a Margherita pizza and a chilled bottle of wine Corona is cramping my style,b'cigosbah',b'',.,keywords
11/17/2020,Corona is literally the closest thing to the start of a zombie apocalypse and some of yall aint still taking it seriously,b'fb_vz',b'Chromatica ',.,keywords
11/17/2020,realDonaldTrump President you tweet Biden won Now you tweets you won the election What happens in your head Mental illnesses Look corona Virus deaths and take action for your remaining 64 days You lost election you must go No way to stay Do good things for remaining days,b'MDKabir01908737',"b'Bronx, NY'",.,keywords
11/17/2020,i just know those teachers who used to stick their whole ass finger in their mouths to turn the page are having a hard time rn bc of corona sending thoughts and prayers,b'pcgirl12',b'',.,keywords
11/17/2020,DC has been through so much 911 DC sniper Earthquake ralliesriotsprotest gun violence corona and so on If you grew up in DC its ok to be a little traumatized None of this has been normal,b'macadelix1',b'',.,keywords
11/17/2020,RandPaul You should not wear a mask not wash hands and hang out with as many as your buddies as possible I think you need a fresh 6 pack of Corona so we can be Paul free,b'kevin4mph',"b'Los Angeles, CA'",.,keywords
11/17/2020,Cant believe I was supposed to get a nose piercing this year now I have to wait till corona is over and I can go to india to get one,b'gujjuarmy12',b'Nowhere',.,keywords
11/17/2020,All these games getting cancelled because of Corona except FSU and Clemson SMH,b'mattfsu77',"b'Enterprise, AL'",.,keywords
11/17/2020,thedavidcrosby Waiting for Biden to do just that David when he begins to start running this country of ours because he has some good ideas about the corona virus and the environment and so on,b'MarkJam32511785',"b'Shreveport, LA'",.,keywords
11/17/2020,rn i should be high and being a concertthank you corona smh,b'zeza_rd',"b'Georgia, USA'",.,keywords
11/17/2020,TAX THE BILLIONAIRES AND FUND EXCLUDED WORKERS Also support street vendors in Queens Esp in Jackson Heights and Corona,b'katiasportela',b'NYC ',.,keywords
11/17/2020,MarenMorris The Bones has literally been my anthem being a corona bride Whenever Im feeling down and it comes on and I listen to the lyrics I know covid cant break us Thank you for this light when its hard to find one whenthebonesaregood coronabride covidweddings,b'mel_rowling',b'',.,keywords
11/17/2020,I still have a slight cough from having corona Its not all the time and its not bad Its just there When people look at me for coughing Im just gonna start yelling YES I HAD CORONA Maybe thatll get them to put their masks on,b'ShelbyGray_',"b'New Paris, IN'",.,keywords
11/17/2020,Im over corona I personally think another lockdown or people wanting another stimulus check be dumb af But whatever Panic stocking is happening again guys get what you need now Stay santitized wash your hands and ALWAYS stay safe,b'kcativ0',b'yay area',.,keywords
